term,definition
Apple,Apfel
Elephant,Elefant
Algorithm,Algorithmus
Sustainability,Nachhaltigkeit
Quantum Physics,Quantenphysik
Globalization,Globalisierung
Innovation,Innovation
Climate Change,Klimawandel
Democracy,Demokratie
Artificial Intelligence (AI),Künstliche Intelligenz (KI)
Mountain,Berg
Ocean,Ozean
Solar Energy,Solarenergie
Ecosystem,Ökosystem
Robotics,Robotik
Biodiversity,Biodiversität
Entrepreneurship,Unternehmertum
Cybersecurity,Cybersicherheit
Renewable Energy,Erneuerbare Energie
Space Exploration,Weltraumforschung
Biotechnology,Biotechnologie
Virtual Reality,Virtuelle Realität
Equality,Gleichheit
Blockchain,Blockchain
Diversity,Vielfalt
Cultural Heritage,Kulturerbe
Genetic Engineering,Gentechnik
Automation,Automatisierung
